Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Interest Expense,Income Tax Expense,Net Income,Gross Margin,Profit Margin,Free Cash Flow margin,Consolidated Income,Short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Long-term investments,Total non-current assets,Payables,Short-term debt,Total current liabilities,Total debt,Deferred revenue,Total liabilities,Other comprehensive income,Total shareholders equity,Investments,Depreciation & Amortization,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Issuance (repayment) of debt,Issuance (buybacks) of shares,Effect of forex changes on cash,Net Income per Share,Shareholders Equity per Share,Market Cap,Enterprise Value,Income Quality,Invested Capital,Average Payables,Days Sales Outstanding,Operating Income Growth,Inventory Growth,Asset Growth,Debt Growth,R&D Expense Growth,Class
55371139000,44813632000,10557507000,0,8502891000,8502891000,302878000,623727000,1142503000,0.1907,0.021,0.0284,1142503000,0,4012393000,2995598000,8033438000,4377302000,0,9723217000,3971112000,534013000,6095886000,8194890000,0,15375139000,-1262737000,2381516000,0,901992000,-662663000,-2921798000,0,729870000,-1681316000,-22104000,2.1021,4.3818,27048884480,34374272480,1.9541,14032518000,3453547000,26.4492,0.1103,0.1351,0.0619,0.1021,0,1
2348859544,1629291717,719567827.1,0,0,383313325.3,89315726.29,38415366.15,163865546.2,0.3063,0.084,0.0796,163865546.2,0,181752701.1,368427370.9,899279711.9,354621848.7,0,4624969988,575390156.1,3961584.634,842617046.8,1678751501,0,3300240096,99879951.98,2224009604,0,0,-45618247.3,0,0,-720288.1152,-213205282.1,-23649459.78,0.6244,8.4749,3314700000,,1.4198,1931572629,537010867.5,28.2434,0.1718,0.0769,0.1144,0.0985,0,0
3776200000,2046600000,1729600000,0,996900000,996900000,52600000,-50700000,743400000,0.458,0.197,0.1686,743400000,0,345900000,330700000,1000200000,607700000,9300000,5014600000,659100000,270900000,935000000,2374300000,0,3796800000,-36400000,2218000000,9300000,125400000,-45000000,-1260000000,0,1265500000,-357900000,14100000,2.9665,8.8508,12353809655,14449209655,0.9167,2895800000,614000000,33.434,0.0117,0.2808,0.3814,1.1195,0,1
45794000000,44029000000,1765000000,0,1437000000,1437000000,263000000,56000000,160000000,0.0385,0.003,-0.0572,174000000,0,1501000000,5074000000,10403000000,5310000000,461000000,8468000000,3395000000,634000000,6215000000,4794000000,0,11514000000,-5930000000,7148000000,461000000,609000000,-646000000,-495000000,2978000000,86000000,0,3000000,1.1378,50.8302,9561096878,13439096878,-15.6746,15696000000,3440000000,11.9637,-0.7056,0.0631,-0.0165,0.0004,0,0
882060000,381774000,500286000,0,217472000,242823000,93546000,41455000,69395000,0.5672,0.079,0.1653,69395000,0,136742000,115609000,334434000,50595000,0,3576914000,70218000,0,162009000,2193732000,0,3088799000,-26352000,822549000,0,25792000,-2892000,-691703000,0,569500000,4028000,-409000,1.3099,15.5268,2941138328,5093015328,2.1424,2382351000,54257000,56.5844,-0.011,0.2668,0.3264,0.3497,0,0
5193995000,3094576000,2099419000,0,1730956000,1851416000,5091000,91471000,152828000,0.4042,0.029,0.0437,152828000,0,0,858689000,994379000,525851000,0,613328000,400495000,0,678595000,106400000,0,957077000,0,650630000,0,108315000,-84721000,0,0,39586000,-232648000,0,3.4297,14.6013,2163827773,2219063773,2.041,984348000,391386000,0,0.0518,0.0102,-0.0199,0.7079,0,0
7321100000,3802100000,3519000000,0,1392400000,1392400000,333300000,550300000,1528600000,0.4807,0.209,0.1077,1532700000,0,737000000,1955100000,3230000000,3932800000,0,15372400000,559800000,1517400000,2697600000,9238100000,0,11717600000,-399800000,6891200000,0,237500000,-907400000,-552800000,0,1176800000,-1063000000,-5100000,7.6703,34.5793,31135906662,40196606662,1.1095,13667300000,494550000,36.7438,0.2048,0.0559,0.0965,0.1432,0,0
24147000000,19929000000,4218000000,0,3631000000,3630000000,170000000,-40000000,444000000,0.1747,0.018,0.0229,444000000,0,1399000000,1208000000,2819000000,1801000000,0,6218000000,1289000000,263000000,2003000000,3911000000,0,6286000000,-95000000,2751000000,0,378000000,-196000000,-182000000,22000000,-123000000,-247000000,0,1.9966,12.3705,7196489758,10988489758,1.6869,6495000000,1291898000,21.1469,0.4033,-0.0123,0.0103,-0.0034,0,0
4664612000,3097582000,1567030000,0,1245640000,1340960000,21177000,47078000,158440000,0.3359,0.034,0.0238,158440000,0,25893000,229542000,299507000,713031000,0,1282096000,244853000,9238000,299714000,482727000,0,930909000,-784000,650694000,0,96987000,-198594000,0,0,88808000,-194092000,0,1.1722,4.8139,3314787899,3778035899,1.9538,1180854000,229389500,2.0261,0.0617,0.1227,0.0984,0.2547,0,0
5715600000,2203300000,3512300000,0,3231000000,3265600000,140800000,100700000,22000000,0.6145,0.004,0.03,20000000,0,457200000,598200000,2233300000,702700000,0,1464600000,832200000,25700000,1559600000,1897900000,0,3944800000,-926200000,-725000000,0,114000000,-91400000,22000000,0,7400000,-7200000,34100000,0.05,-1.6489,959194966.4,1975594966,11.9364,3059000000,800150000,29.1969,0.6349,0.0201,0.0816,0.0021,0,0
1327029000,754664000,572365000,0,636326000,707506000,42805000,-51419000,-103187000,0.4313,-0.078,0.0588,-103187000,86449000,192569000,150694000,732371000,148659000,0,1831220000,127608000,8000000,506749000,768194000,683808000,1768398000,-46522000,795193000,86449000,266443000,-57092000,0,-5521000,-8000000,2120000,0,-0.8393,6.4677,1153163784,1685929784,-1.3096,1377446000,138011000,52.9662,0.5812,-0.0722,-0.0615,-0.0059,0,0
5225800000,3651700000,1574100000,0,867400000,1053800000,314800000,26100000,48300000,0.3012,0.007,0.0376,48300000,0,480600000,573500000,2615900000,1690700000,0,9260900000,336000000,22100000,704400000,7171200000,0,9087100000,-40000000,2780000000,0,323100000,-190400000,-1915200000,0,2374000000,-304400000,33300000,0.7124,41.0029,5844965472,11486065472,11.1121,9427600000,300200000,33.5679,-0.0465,0.1399,0.2688,0.5714,0,1
11824000000,2434000000,9390000000,0,7460000000,7686000000,103000000,361000000,1249000000,0.7941,0.106,0.1098,1256000000,605000000,1395000000,1479000000,4964000000,1671000000,1026000000,6604000000,835000000,189000000,2823000000,3572000000,0,7166000000,-484000000,4384000000,1631000000,464000000,-492000000,-1671000000,-41000000,1346000000,-272000000,6000000,3.4023,11.9423,35304547417,37135547417,1.4331,7938000000,776000000,43.0628,0.0584,0.1701,0.2543,0.5932,0,1
29524556.81,12401772.74,17122784.07,0,7938680.616,7938680.616,0,2877651.845,2566986.341,0.58,0.0126,0.5552,2519471.084,0,6592269.689,0,41066259.81,1074542.284,0,1962801.511,61028.7707,0,18117262.42,0,12328247.6,18117262.42,938971.2293,269398.4307,0,255013.0776,-967887.2421,558267.9454,-1069020.634,0,0,644289.4507,4.3422,0.4557,334957290,,6.7632,-8730310.956,30514.3854,81.4975,8.605,0,2.0988,0,0,0
3168000000,2389200000,778800000,0,260500000,260500000,61200000,170200000,326900000,0.2458,0.103,0.0503,340200000,0,185200000,525000000,858200000,1271200000,178600000,1627400000,295000000,59900000,555400000,2424900000,0,3132800000,-9300000,-647200000,178600000,109100000,-287400000,0,0,771500000,-200000,1100000,2.238,-4.4308,6743985323,9111785323,1.3671,4127800000,266500000,21.3378,0.3748,0.0521,0.1513,15.9573,-1,1
3920733000,2009473000,1911260000,0,1510015000,1783781000,36557000,-827000,150120000,0.4875,0.038,0.0682,150120000,0,280050000,172375000,507191000,732026000,187737000,2152533000,181388000,12095000,393951000,832236000,0,1409047000,-84559000,1250677000,187737000,146719000,-30067000,0,-691000,-138935000,16642000,0,0.7163,5.9677,4049660003,4876767003,1.981,1885661000,177245000,26.0712,-0.5064,0.0116,-0.0367,-0.1314,0,0
10767863000,9296249000,1471614000,0,389517000,399292000,107183000,263899000,694579000,0.1367,0.065,0.0433,718167000,0,568429000,1255070000,2516288000,2113312000,0,3732364000,735916000,47775000,1452523000,2683392000,0,4392991000,-31140000,1846156000,0,277792000,-335397000,-658520000,0,489629000,-14641000,16364000,2.7924,7.4221,7507350691,9601211691,1.1537,5270938000,765381000,19.2681,0.3538,0.2864,0.2443,0.9006,0,0
20719200000,14324500000,6394700000,0,4689900000,4689900000,375500000,433200000,896200000,0.3086,0.043,0.0535,896200000,4000000,0,2865800000,3938000000,3115800000,0,11763600000,1119600000,152100000,2105900000,6321800000,0,10312100000,-37600000,5389500000,4000000,637500000,-565600000,0,82000000,-1079800000,41500000,1100000,3.7963,22.83,17764374129,23215774129,1.8671,10453900000,1185750000,0,0.6241,-0.0068,-0.0126,-0.1395,0,0
2480962000,1656540000,824422000,0,624269000,1081749000,64221000,-159779000,-150262000,0.3323,-0.061,0.0759,-150262000,0,126650000,485732000,743031000,186562000,0,776732000,153018000,0,267099000,1297023000,114081000,1705684000,-5831000,-185921000,0,56809000,-32123000,8361000,0,-167853000,0,897000,-2.1844,-2.7028,241510034.5,1474532035,-1.4675,1920542000,166475500,18.6328,-0.5056,-0.1671,-0.2608,-0.158,0,0
26437837838,6801351351,19636486486,0,0,3425675676,0,-10985135135,50655405405,0.7427,2.5892,0.2676,50886486486,87837837.84,6498648649,7924324324,18872972973,6597297297,2187837838,1.72E+11,13467567568,7328378378,21087837838,66824324324,0,1.08E+11,0,82106756757,2275675676,1218918919,-1193243243,-22744594595,-13513513.51,27175675676,-277027027,-528378378.4,11.2927,18.3041,,,0.1632,72733783784,11903536870,89.7201,0.5822,0.108,2.882,1.7765,0,0
7795025000,5976958000,1818067000,0,1654210000,1730501000,64961000,-26179000,61588000,0.2332,0.008,0.0054,61588000,0,675826000,278063000,1019879000,1094064000,0,1483950000,671070000,1125000,672195000,913199000,0,1847882000,-78410000,655947000,0,170640000,-102390000,-21596000,-11000000,21991000,-535000,0,0.6775,7.2162,1057341973,1954028973,2.3511,2349166000,689025500,31.6454,-0.6735,-0.0226,-0.0393,0.0306,0,0
4427700000,848600000,3579100000,0,1758600000,2962000000,160800000,257300000,213900000,0.8083,0.048,0.1119,213900000,0,93300000,341200000,1860300000,377500000,0,1034800000,67800000,102400000,906800000,2268100000,0,3229800000,-165400000,-334700000,0,99800000,-95500000,0,0,756900000,-844200000,28200000,1.3495,-2.1117,6027070188,7016370188,2.762,2570600000,66900000,7.6912,0.3471,-0.0811,0.1285,0.5665,0,1
776188000,449290000,326898000,0,118033000,92906000,39174000,-67204000,223897000,0.4212,0.288,0.1654,258108000,0,101012000,34345000,279028000,174121000,0,2687247000,49992000,11268000,127851000,999188000,0,1493702000,1318000,788093000,0,38170000,-35294000,0,0,-5144000,1000,0,2.2591,7.9517,1986873069,2850360069,0.7311,1199377000,41996000,47.5006,0.4657,0.1448,0.0415,-0.1694,0,0
56444000000,21386000000,35058000000,0,18099000000,17907000000,6885000000,1920000000,7968000000,0.6211,0.141,0.2003,9183000000,1304000000,7400000000,4119000000,23960000000,27184000000,5363000000,2.22E+11,26224000000,7550000000,36211000000,1.16E+11,0,1.66E+11,0,72585000000,6667000000,4276000000,-4124000000,7428000000,4550000000,-9981000000,0,-319000000,4.9545,45.1331,1.64E+11,,1.9365,1.29E+11,25313000000,47.8527,0.3315,0.0591,-0.0408,-0.0509,0,0
255066000,80175000,174891000,81926000,115651000,193858000,74000,1802000,-20283000,0.6857,-0.08,0.1268,-20283000,81742000,10855000,0,228942000,47493000,20305000,217988000,7049000,0,51563000,0,13440000,55868000,-282000,391062000,102047000,19337000,-19199000,-14931000,-102104000,0,171268000,0,-0.2028,3.9098,1794710284,1586511284,-2.5415,122485000,6112000,15.5335,0.5267,0,0.5377,0,0.2351,1
933178000,766727000,166451000,0,152698000,108935000,131349000,-4992000,13198000,0.1784,0.014,0.0425,14975000,0,172214000,108919000,689452000,831377000,42342000,955637000,99250000,154898000,282408000,817958000,0,962070000,-552604000,673880000,42342000,151007000,-197424000,0,0,167354000,-38328000,-8337000,0.1089,5.5627,872320000,,17.9652,1894252000,96417500,67.3592,-0.1149,-0.0254,0.0994,0.2873,0,0
7506587000,5825426000,1681161000,0,1172328000,1369957000,41536000,92183000,177485000,0.224,0.024,0.004,177485000,0,43244000,201644000,350685000,2513158000,0,2669417000,293903000,16321000,427378000,923677000,0,1829482000,0,1190620000,0,197629000,-429252000,-25473000,0,85501000,-45536000,0,4.5279,30.3744,4366676249,5213636249,2.5877,3306878000,267555000,2.1027,-0.1997,-0.0163,0.1078,0.1019,0,1
347448000,271432000,76016000,0,33107000,33107000,1184000,10935000,41823000,0.2188,0.118,0.0357,41823000,0,34347000,93149000,134742000,103051000,0,105586000,30037000,372000,41580000,24554000,2151000,71598000,-311000,168730000,0,11308000,-21055000,0,22832000,-11313000,-4663000,0,2.4974,10.0754,1324599091,1346069091,0.8198,220218000,26864000,36.0821,0.0223,0.1812,0.0665,-0.318,0,0
1799509000,749586000,1049923000,0,787774000,787774000,0,-139931000,274457000,0.5834,0.153,0.2888,276796000,1329685000,11039000,31742000,2326262000,282800000,220867000,598717000,24306000,0,1202681000,0,866630000,1204901000,39161000,1680948000,1550552000,55283000,-102929000,-2718000,-566753000,0,542000,-23546000,1.742,10.6692,15716260000,,2.2688,1059480000,22871500,2.2391,0.3438,0.1626,0.2421,0,0,0
